article_title,article_folder,source_url,link_text,url,type
Automatic License Activation,Automatic-License-Activation,https://stretchsense.my.site.com/defaulthelpcenter26Sep/s/article/Automatic-License-Activation?language=en_US,StretchSense Downloads,https://stretchsense.com/my-account/software-downloads/,stretchsense_site
Automatic License Activation,Automatic-License-Activation,https://stretchsense.my.site.com/defaulthelpcenter26Sep/s/article/Automatic-License-Activation?language=en_US,support@stretchsense.com,mailto:support@stretchsense.com,relative_or_internal
Automatic License Activation,Automatic-License-Activation,https://stretchsense.my.site.com/defaulthelpcenter26Sep/s/article/Automatic-License-Activation?language=en_US,support@stretchsense.com,mailto:support@stretchsense.com,relative_or_internal
Automatic License Activation,Automatic-License-Activation,https://stretchsense.my.site.com/defaulthelpcenter26Sep/s/article/Automatic-License-Activation?language=en_US,support@stretchsense.com,mailto:support@stretchsense.com,relative_or_internal
Fidelity Glove and Dongle Setup,Fidelity-Glove-and-Dongle-Setup,https://stretchsense.my.site.com/defaulthelpcenter26Sep/s/article/Fidelity-Glove-and-Dongle-Setup?language=en_US,create and stage a performer,https://get.stretchsense.com/knowledge/fidelity-#Performer,stretchsense_site
Fidelity Glove and Dongle Setup,Fidelity-Glove-and-Dongle-Setup,https://stretchsense.my.site.com/defaulthelpcenter26Sep/s/article/Fidelity-Glove-and-Dongle-Setup?language=en_US,connect to Hand Engine.,https://get.stretchsense.com/knowledge/fidelity-#ConnectingGloves,stretchsense_site
Fidelity & SuperSplay Gloves - Unity Streaming,Fidelity-SuperSplay-Gloves-Unity-Streaming,https://stretchsense.my.site.com/defaulthelpcenter26Sep/s/article/Fidelity-and-SuperSplay-Glove-Unity-Streaming?language=en_US,http://www.stretchsense.com/my-account,http://www.stretchsense.com/my-account,stretchsense_site
Fidelity & SuperSplay Gloves - Unity Streaming,Fidelity-SuperSplay-Gloves-Unity-Streaming,https://stretchsense.my.site.com/defaulthelpcenter26Sep/s/article/Fidelity-and-SuperSplay-Glove-Unity-Streaming?language=en_US,support@stretchsense.com,https://kb.stretchsense.com/desk/help-docs/573/mcpsupport@stretchsense.com/,stretchsense_site
Fidelity & SuperSplay Gloves - Unity Streaming,Fidelity-SuperSplay-Gloves-Unity-Streaming,https://stretchsense.my.site.com/defaulthelpcenter26Sep/s/article/Fidelity-and-SuperSplay-Glove-Unity-Streaming?language=en_US,stretchsense.com/my-account/,https://stretchsense.com/my-account/,stretchsense_site
Fidelity & SuperSplay Gloves - Unreal Engine Streaming,Fidelity-SuperSplay-Gloves-Unreal-Engine-Streaming,https://stretchsense.my.site.com/defaulthelpcenter26Sep/s/article/Fidelity-and-SuperSplay-Glove-Unreal-Engine-Streaming?language=en_US,http://www.stretchsense.com/my-account,http://www.stretchsense.com/my-account,stretchsense_site
Fidelity & SuperSplay Gloves - Unreal Engine Streaming,Fidelity-SuperSplay-Gloves-Unreal-Engine-Streaming,https://stretchsense.my.site.com/defaulthelpcenter26Sep/s/article/Fidelity-and-SuperSplay-Glove-Unreal-Engine-Streaming?language=en_US,support@stretchsense.com,https://kb.stretchsense.com/desk/help-docs/573/mcpsupport@stretchsense.com/,stretchsense_site
Fidelity & SuperSplay Gloves - Unreal Engine Streaming,Fidelity-SuperSplay-Gloves-Unreal-Engine-Streaming,https://stretchsense.my.site.com/defaulthelpcenter26Sep/s/article/Fidelity-and-SuperSplay-Glove-Unreal-Engine-Streaming?language=en_US,stretchsense.com/my-account/,https://stretchsense.com/my-account/,stretchsense_site
